0321735722,"Electronics",206374,"Kelby Training DVD: Adobe Photoshop CS5 Power Session By Matt Kloskowski",38.95,"http://ecx.images-amazon.com/images/I/31TvjSNbFwL.jpg",555,2749.34,4.95
0324322402,"Electronics",111352,"ResponseCard IR",56.99,"http://ecx.images-amazon.com/images/I/51QBqN3F8hL._SY300_.jpg",846,3861.61,4.56
0439651859,"Electronics",202579,"TEACHERS FRIEND NOTE FROM THE TEACHER SCHOOL TO HOME NOTES",5.99,"http://ecx.images-amazon.com/images/I/31GI7SdbS7L.jpg",786,3362.74,4.28
0439886341,"Electronics",144944,"Digital Organizer and Messenger",8.15,"http://ecx.images-amazon.com/images/I/51k0qa8fNML._SX300_.jpg",648,3113.51,4.8
0545020832,"Toys & Games",732749,"Talk-to-Me Amazing Animals Phonics Boxed Set With Magic Talking Pen &amp; 10 Books",23.92,"http://ecx.images-amazon.com/images/I/41dBcDrKmqL.gif",302,1136.16,3.76
0545016258,"Toys & Games",250565,"Scholastic Rapid Words 1000 Electronic Word Game",15.9,"http://ecx.images-amazon.com/images/I/51OGqxGPQxL._SX300_.jpg",235,1075.44,4.58
0545102057,"Toys & Games",315997,"Scholastic Electronic Dictionary",11.95,"http://ecx.images-amazon.com/images/I/51TPCeSx57L._SY300_.jpg",834,2642.59,3.17
059403390X,"Electronics",49531,"Barnes &amp; Noble BP-01-C01-N2-1 Industriell Cover",15.0,"http://ecx.images-amazon.com/images/I/5145WahSR4L._SY300_.jpg",953,3674.02,3.86
0594450268,"Electronics",16038,"NOOK HD+ Protective Stand Cover",25.78,"http://ecx.images-amazon.com/images/I/31x1Kj7yGdL._SY300_.jpg",589,2942.32,5.0
0743610431,"Electronics",64138,"Maptech ChartKit&reg; Book w/Companion CD - Florida East Coast &amp; The Keys",111.6,"http://ecx.images-amazon.com/images/I/31AgCC9ZFqL.jpg",961,3534.87,3.68
074361058X,"Electronics",38983,"Maptech Embassy Cruising Guide - Long Island Sound to Cape May, NJ",44.95,"http://ecx.images-amazon.com/images/I/41VBBdv7TpL.jpg",556,1735.37,3.12
0777700018,"Electronics",93162,"65W/90W DC Car Charger for Dell Inspiron, Latitude, Studio, Vostro &amp; XPS Laptops (Lifetime Warranty, Bulk Packaging)",21.4,"http://ecx.images-amazon.com/images/I/41FVVuXVieL._SX300_.jpg",527,2279.88,4.33
0879393742,"Software",6594,,667.19,"http://ecx.images-amazon.com/images/I/21w4q55Yr6L.jpg",475,1463.92,3.08
0973528648,"Sports &amp; Outdoors",1498330,"Bulldog's Wes Humpston Book/Pictorial Skate Art",726.77,"http://ecx.images-amazon.com/images/I/61lFnQPa0KL._SY300_.jpg",998,3839.04,3.85
0974562106,"Software",7154,,32.95,"http://ecx.images-amazon.com/images/I/51HblCPjB1L._SY300_.jpg",290,1175.13,4.05
0977703037,"Software",20114,,49.65,"http://ecx.images-amazon.com/images/I/51lvKspymLL._SY300_.jpg",451,1806.67,4.01
0978770382,"Sports &amp; Outdoors",709367,"New 2012 Callaway uPro MX+ Golf GPS Ultimate Package",22.94,"http://ecx.images-amazon.com/images/I/51yXIwlRpiL._SY300_.jpg",560,2716.64,4.85
