0132793040,874
0321735722,440
0324322402,356
0439651859,415
0439886341,710
0511189877,436
0528881469,752
0545020832,649
0545016258,450
0545102057,857
0558835155,118
059403390X,983
0594012015,494
0594017580,997
0594450209,150
0594514681,958
0594549507,533
0594478162,456
0594451647,875
0594450705,458
0594033896,272
0594477670,668
0594481813,745
0594033934,188
0594450268,481
0594482127,933
059400232X,459
0594296420,500
0594033926,392
0743610431,165
074361058X,901
0777700018,978
0840017677,328
0879393742,604
0899336795,358
089933623X,258
094339676X,829
0970408005,832
0970407998,428
0970408641,722
0972683275,132
0973528648,400
0974562106,908
0977703037,400
0978770382,661
0982308825,711
0983947600,762
0984484515,599
0984484523,362
0986987662,292
1034385789,288
1085901386,584
1039869017,178
1094441252,940
1182702627,109
1254875778,425
134048160X,719
1394860919,765
1348510390,321
1400532620,218
140053271X,460
1400699894,242
1400532736,106
1400698987,307
1400501474,410
1400501520,214
1400501741,798
1400699169,920
1400532655,114
1400501784,786
1400599997,565
1400501466,229
1400666937,354
1400501776,980
1412714451,759
1412733626,726
141277201X,666
1412772028,373
141278400X,855
1412784212,789
1412789788,467
1427695024,642
1427649987,284
0205616461,880
0310329523,118
0558925278,206
0615114180,418
0733001998,409
0737104473,749
0762451459,420
0767812158,763
0767812115,769
0780020715,283
0780019490,511
0780021258,173
0783113943,930
0788812408,338
0788805533,174
0790736365,885
0792147340,593
0792838386,408
0792845439,129
079284551X,888
0972031758,832
0976490609,322
0977217213,122
1030070148,684
1304139212,137
130414674X,675
130414089X,331
1304196062,339
1304146537,864
130414643X,470
1304174905,396
1304196135,242
1304139220,908
1304168522,466
1304174867,314
1304196070,445
1304196046,626
1304351475,476
1304174778,703
1304488608,892
1304511154,314
1304495396,999
1304511146,975
130451112X,866
1304511138,135
1304511081,135
1304511073,356
1304482685,310
1304511111,655
1304622657,671
1304622428,217
1304622622,519
1304624544,551
1304622460,351
1304624536,136
1304622223,538
1304622193,928
1304651118,393
1304665720,717
130465110X,816
1304651029,435
1304651088,949
1304622452,463
1304665704,428
1304651347,762
1304624498,993
1304622665,862
130466578X,862
1400200873,140
1400200865,291
1400301734,388
1403790965,256
1412772028,550
1412759676,694
1414301308,409
1457982633,794
1558908323,190
156371616X,682
1565857690,828
1570199167,166
1572671203,617
1575672782,837
1578002230,387
1578750172,119
1603113460,327
1608613453,829
1879187396,351
1888522186,689
1891129716,450
189112966X,252
1906987238,304
1929099886,264
1987958179,121
322700075X,979
3227001055,355
0061985856,990
0061997102,169
0071423206,732
0071436588,639
0072222506,191
0078800242,757
013099166X,606
0195129946,260
0195317106,346
0226769577,764
024051579X,391
0240814509,920
0262693151,926
0307279189,490
030795207X,704
031088974X,513
0312207689,314
0316041009,822
0321268768,816
0321775074,524
0345524926,673
037550771X,433
037585746X,544
0393061744,268
0393242196,693
0425169340,502
0439492815,493
0439499798,536
0439492262,285
043950998X,216
0439509815,134
