0132793040,"Kelby Training DVD: Mastering Blend Modes in Adobe Photoshop CS5 By Corey Barker","The Kelby Training DVD Mastering Blend Modes in Adobe Photoshop CS5 with Corey Barker is a useful tool for becoming familiar with the use of blend modes in Adobe Photoshop. For those who are serious about mastering all that Photoshop has to offer, mastering blend modes is just as important as mastering layers.In this DVD tutorial, seasoned expert Corey Barker explores the function of blend modes in a variety of scenarios such as image restoration, sharpening, adjustments, special effects and much more. Since every project scenario is different, Corey encourages you to experiment with these blend modes by giving you the skills and confidence you need.",458.43,"http://ecx.images-amazon.com/images/I/31JIPhp%2BGIL.jpg",,,,,,"{Electronics,Computers & Accessories,Cables & Accessories,Monitor Accessories}",315,1301.34,4.13
0321735722,"Kelby Training DVD: Adobe Photoshop CS5 Power Session By Matt Kloskowski","If you're already a Photoshop user and want a quick, convenient way to unlock the potential of Photoshop CS5's new features then this DVD is the place to start. Ideal for people with experience using a previous version of Photoshop (CS4, CS3, or even CS2)",38.95,"http://ecx.images-amazon.com/images/I/31TvjSNbFwL.jpg","[0321703561]",,"[0321703561]",,,"{Computers}",555,2749.34,4.95
0324322402,"ResponseCard IR","Optimized for small, medium and large presentation environments, the ResponseCard Infra Red (IR) keypad takes advantage of the latest in audience response technology advancements. The ResponseCard IR keypad provides features and functionality required to ensure that the audience response transmissions of 1000's or in large locations are accurately, timely and effortlessly transmitted to the TurningPoint, interactive PowerPoint presentation.",56.99,"http://ecx.images-amazon.com/images/I/51QBqN3F8hL._SY300_.jpg",,"[B0018RRSOU]",,"[193493139X,B0018RRSOU,1934931055,1934931403]",,"{All Electronics}",846,3861.61,4.56
0439651859,"TEACHERS FRIEND NOTE FROM THE TEACHER SCHOOL TO HOME NOTES","School To Home Notes: Note From the Teacher!\\nSuitable Wording for Both Parents and Caregivers!\\nA great, time-saving way to communicate with parents/care providers! Each specifically designed School to Home Notes booklet contains 60, colorful, two-part c",5.99,"http://ecx.images-amazon.com/images/I/31GI7SdbS7L.jpg",,,,"[B001JTQI1Q,B00290OGJU]",,"{Toys & Games,Learning & Education,Flash Cards}",786,3362.74,4.28
0439886341,"Digital Organizer and Messenger","Digital Organizer and Messenger",8.15,"http://ecx.images-amazon.com/images/I/51k0qa8fNML._SX300_.jpg",,"[0545016266,B009ECM8QY,B001CODA9G,B000N2X2GO,B00005T3UK,B00009MVFL,B000VU0CQG,B0000796XL]",,,,"{Electronics,Computers & Accessories,PDAs, Handhelds & Accessories,PDAs & Handhelds}",648,3113.51,4.8
0511189877,"CLIKR-5 Time Warner Cable Remote Control UR5U-8780L","The CLIKR-5 UR5U-8780L remote control is designed to operate the CISCO/SA, Pioneer, Pace Micro, Samsung and Motorola digital set tops.  Plus the majority of TV, VCR, DVD and AUX equipment on the market as follows: Cable Set-top Boxes, VCRs and TV/VCRs, Televisions, DVD Players, Audio Equipment, Media PC, etc.   Contact Information for MSO's Let's discuss your needs in detail.   Time Warner Cable CLIKR-5   Interactive Tutorial - English and Spanish   Programming Instructions and Codes - English   The Time Warner Cable CLIKR-5 is designed to offer complete control for all digital, HD and DVR set-top boxes. The UR5U-8780L is factory programmed to operate Scientific Atlanta/Cisco and Samsung set-top boxes while the UR5U-8790L is factory programmed for Motorola set-top boxes. In addition to the set-top box the CLIKR-5 can also control TV's, VCR's, DVD players and Auxiliary equipment such as audio receivers and home theater systems. The Time Warner Cable CLIKR-5 features a fully backlit keypad and upgradeability.   Features and Benefits:   	-Tru2way / OCAP compliant 	-Control up to 5 devices 	-64-K chip pre-loaded with the  largest code library in the industry 	Three factory-programmed macro keys (Dedicated ON DEMAND button, M1, M2) 	Customizable System Power button 	Illuminated mode buttons 	Full keypad backlighting featuring exclusive 'night vision' red illumination 	'Sure Touch' cursor navigation pad 	The industry's simplest & quickest device code programming 	Quick programming instructions on back case 	Memory Lock retains programmed memory for 10 years even with Batteries removed 	Interactive, bi-lingual CD Tutorials for CSR, Tech & Installer training & reference 	Barcode label in battery compartment with easily identifiable manufacturer date code  Specifications     Size: 2.875\"(W) x 8.5\"(L) x 1.125\"(D)    Weight: 4.1 oz    Power Supply: 2 x AA Batteries",23.36,"http://ecx.images-amazon.com/images/I/41HaAhbvLyL._SY300_.jpg",,"[B001KC08A4,B00KUL8O0W,B000ST9BEO,B0028IKXLS,B003UVVGHW,B000ZD067Y,B003ANZF0E,B002LARYGA,B003DNS882,B0039MJ4R6,B000FL9E6K,B00385XUG0,B002JW7BN6,B003LR5HRK,B0051L0BD4,B003ID6XN4,B003DNS88C,B008A1BI1G,B005NCNV9W,B000GM6LL4,B003EYV210,B004OVECU0,B003JSLP54,B007TAMIAO,B003IZFCFW,B00CLUM7TO,B0014A50GE,B000GD3J3G,B004UKRRD4,B003YKB3OA,B004PYS45K,B003EYV21K,B000FL5OIW,B00385XUFQ,B000FL9E6U,B003EYV224,B00J7KM5X4,B002GR1YZ0,B007TAMHRI,B0099CHEAY,B001KC08AE,B005FPT38A,B00AP61HYM,B000SETQD0,B0011YE99C,B00FV2UK9I,B000W8JFPG,B003EYV21A,B003E2YYCG,B00GGVPKKC,B005DNR6CO,B007IO7DZQ,B004368NG0,B00385XUF6,B002V41X2M]",,"[B001KC08A4,B00KUL8O0W,B0028IKXLS,B000ST9BEO]",,"{Electronics,Accessories & Supplies,Audio & Video Accessories,Remote Controls,TV Remote Controls}",924,4503.74,4.87
0528881469,"Rand McNally 528881469 7-inch Intelliroute TND 700 Truck GPS","Like its award-winning predecessor, the IntelliRoute TND 500, the Rand McNally IntelliRoute TND 700 GPS device gives truckers much more than just maps and navigation. It offers detailed information about truck stops, rest areas, weigh stations and other points of interest for truckers, as well as tools to help drivers estimate the profitability of a route. And with its seven-inch screen and high-definition display, the IntelliRoute TND 700 redefines readability and usability. Other exclusive features include an oversized stylus, larger buttons, a louder speaker, and tools like a calendar and notepad to help professional drivers complete their routes with greater ease and efficiency.IntelliRoute TND 700At a glance:35-percent more truck-routing information than other GPS devicesSeven-inch, high-definition screenLarge buttons and powerful speaker optimized for truck cabSpoken turn-by-turn directionsQuick planner tool helps determine most profitable routes3-in-1 ChargerCharge your GPS device via in-car adapter, A/C outlet, or mini-USB port.Seven-inch, high-definition screen optimized for truck cab.View larger.Features large buttons, powerful speaker, and a stylus.View larger.Large, Seven-Inch Display and Powerful SpeakerThe IntelliRoute TND 700 sets itself apart from other GPS devices with its large, seven-inch, high-definition screen, over-sized buttons, and stylus--all of which are designed specifically for a truck cab. And unlike GPS devices designed for passenger cars, this truck navigation unit has a speaker that is twice as powerful as typical car speakers, amplifying the sound above cab noise so spoken directions come through loud and clear.35-Percent More Truck-Route InformationEven before your truck has started, you can determine the best route to take by entering your truck's length, width, weight, height, and HazMat information. The IntelliRoute TND 700 has 35-percent more truck routing information than other GPS units. Enter as many as 10 stops and use the device's preferences tools to pass up tolls and construction without missing weigh stations, rest areas, or repair services. Connect the included USB cable to a Windows-compatible computer with internet connection for free updates including road construction.The IntelliRoute TND 700 provides turn-by-turn directions with spoken street names. The patented Smart-Time feature calculates the local time as well as the time at your destination--handy when traveling across multiple time zones.Included in the IntelliRoute TND 700 is searchable truck-stop information from The Trucker's Friend National Truck Stop Directory. You can find the nearest truck stop or search more than 70 amenities like showers, restaurants, Wi-Fi, and more!Customized Trucker Business ToolsLoaded with all of the innovative tools featured in the IntelliRoute TND 500, the IntelliRoute TND 700 introduces more tools vital for truckers. A new calendar feature helps you keep track of important appointments and dates. Also, you can keep all of your reminders and notes together in the same place with the handy notepad feature.Drivers can reduce time-consuming manual calculations with the IntelliRoute TND 700. Drivers can track miles driven in every U.S. state or Canadian province for organized bookkeeping and fuel-tax reporting. User-set timers and logs keep track of driving time and time on duty.The IntelliRoute TND 700 was designed to partner with America's #1 trucker's atlas. Drivers can cross-reference to the page and grid of the Rand McNally Motor Carriers' Road Atlas.The Quick Planner tool helps determine the profitability of routes. A commercial-grade address book organizes thousands of entries, and allows you to group them the way that works best for you.With so many helpful tools, off-duty truckers may find themselves switching the IntelliRoute TND 700 to car mode and bringing it along for family trips.The IntelliRoute TND 700 is backed by a one-year parts-and-labor warranty.What's in the BoxIntelliRoute TND 700, windshield mount, truck charger with extended length cable, 120/240V home charger, quick start guide, and USB cable.FeaturesIntelliRoute TND 500Truck navigation you can trustIntelliRoute TND 700Redefining truck navigationScreen size5\"7\"Truck-specific routingSearchable truck stop servicesStandard map detailMulti-stop route optimizationCar modeAccess to updates and upgrades via TND Dock*Commercial-grade address bookTimers & LogsTruck stop ratingsJunction view 3-DFull U.S. & Canada MapsQwerty keyboardEnhanced map detail**High-definition screenOversized stylusCalendarNotepad* Updates and upgrades via TND Dock require a Windows PC and internet connection.** Map detail enabled by larger, high-definition screen",299.99,"http://ecx.images-amazon.com/images/I/51FnRkJqNWL._SX300_.jpg",,"[B006ZOI9OY,B00C7FKT2A,B0090C7A2A,B004Q3R91K,B00685P470,B009HY9WVS,B008H3NRMK,B008P8FC4I,B008GUUWAE,B007X3DAMM,B004HW67MW,B005HH35EY,B004PNVETE,B00IP4AXDM,B00GOC4R16,B001TH76JQ,B002LITI70,B00AXX0JOQ,B00AXX0I6A,B004HW67MM,B0082XN4NW,B006IYVMQ8,B004KCMILS,B007PPYXOC,B00J5AT5DE,B006ZOIB24,B004NNUDEI,B007TSESFO,B003ZHVBQM,B0082XN4PA,B005DSPL9E,0528009192,B009NWH71Q,B003PJ6R0A,B00BHAC85W,B004BOTF98,B003CYKYVG,B00BJFN9BC,B00K33XN1C,B00D7EJNYA,B00BHABL1O,B005OEIY8W,B001PBWNOY,B00D7F0JVU,B004MYFTFQ,B00CH3FRG0]",,"[B006ZOI9OY,B00C7FKT2A,B0090C7A2A,B001PBWNOY]",,"{Electronics,GPS & Navigation,Vehicle GPS,Trucking GPS}",503,1527.89,3.04
0545020832,"Talk-to-Me Amazing Animals Phonics Boxed Set With Magic Talking Pen &amp; 10 Books","Ten fun stories help you learn 100 essential high- frequency words. Practice again and again! Magic pen reads the books to you! Includes The Ants Go Marching; Big Pig; Dogs, Dogs, Dogs; Glad Fish, Sad Fish; Happy Cats; A Lot of Legs; Monkeys See, Monkeys Do; Penguin Pal; The Three Bears; Who Says; talking pen; and carrying case.  Electronic pen is designed to work exclusively with all ten books in this pack. 2 AA batteries not included.      * Skills:        Phonics, Reading Comprehension, High-Frequency Words, Sight Words   Book Details      * Number of pages: 8 pages each     * Size: 5\" x 5\"",23.92,"http://ecx.images-amazon.com/images/I/41dBcDrKmqL.gif",,,,,,"{Toys & Games,Electronics for Kids,Systems & Accessories,Electronic Software & Books}",302,1136.16,3.76
0545016258,"Scholastic Rapid Words 1000 Electronic Word Game","Arcade-style gameplay motivates kids and keeps them engaged. Four games provide practice with 500 sight words and 500 word family words. Built-in scoring system. Makes learning fun. Sturdy, kid-friendly device. Batteries included.",15.9,"http://ecx.images-amazon.com/images/I/51OGqxGPQxL._SX300_.jpg","[B004K4O38W,B0015Z2D40]",,"[B004K4O38W,B0035EQIAO]",,Scholastic,"{Toys & Games,Electronics for Kids,Electronic Toys}",235,1075.44,4.58
0545102057,"Scholastic Electronic Dictionary","Access over 30,000 words from the Scholastic Children's Dictionary at your fingertips. Ultra-slim, flexible Qwerty keypad that doubles as a bookmark. Stores previously retrieved words and definitions for ease of access later. Handy tool to use while reading. Track reading time with the timer function. Features a calculator and alarm clock. Great gift for students. Use at home, school or anywhere on the go.",11.95,"http://ecx.images-amazon.com/images/I/51TPCeSx57L._SY300_.jpg",,"[B000FCP1RU,B001COF6YS,B0002OP81A,B006T9BEQK,B0061MGXMU,B00008DHQP,B000XQ6T74,B002FTUVUS,B005CNBUUO,B0002OP83I,B00011VEEE,B00AZRABOI,B00005R8TM,B002B3YBYU,B001WLU1BE,B001WLVHKI,0756637589,B00028DM96,B00000JSG0,B00006I60L,0877796769,B002KCNOY0,B004K4O38W,B0002TP7SY,B00AMOB6RU,B000FCNA0A]",,,Scholastic,"{Office Products,Office Electronics,Electronic Dictionaries, Thesauri & Translators,English Dictionaries}",834,2642.59,3.17
